ibra7_sub,ibra7_sub_name,Jurisdiction(s),Subregion Area (ha),2010 Protected Area (ha),2010 Percent Protected (% IBRA),2010 Contribution to NRS (% Total),2012 Protected Area (ha),2012 Percent Protected (% IBRA),2012 Contribution to NRS (% Total),2014 Protected Area (ha),2014 Percent Protected (% IBRA),2014 Contribution to NRS (% Total)
ARC01,Murgenella,NT,113180,0,0,0,0,0,0,52805,46.66,0.04
ARC02,Maningrida,NT,1741376,508873,29.22,0.49,508886,29.22,0.43,508886,29.22,0.37
ARC03,Nhulunbuy,NT,1159659,564512,48.68,0.54,564587,48.69,0.47,610714,52.66,0.45
ARC04,Groote,NT,268735,253881,94.47,0.24,253881,94.47,0.21,253881,94.47,0.19
ARC05,Wessels,NT,52720,0,0,0,0,0,0,0,0,0
ARP01,Alligator,NT,1038621,965398,92.95,0.92,965450,92.95,0.81,965450,92.95,0.71
ARP02,Mainoru,NT,1267401,763144,60.21,0.73,794517,62.69,0.66,763116,60.21,0.56
AUA01,Snowy Mountains,"ACT, NSW, VIC",713114,529775,74.29,0.51,579767,81.3,0.48,529891,74.31,0.39
AUA02,Victorian Alps,VIC,519866,258658,49.75,0.25,348960,67.12,0.29,258795,49.78,0.19
AVW01,Merredin,WA,6524175,218907,3.36,0.21,220543,3.38,0.18,220570,3.38,0.16
AVW02,Katanning,WA,2992929,49493,1.65,0.05,50053,1.67,0.04,50045,1.67,0.04
BBN01,Townsville Plains,QLD,763495,79782,10.45,0.08,81751,10.71,0.07,81745,10.71,0.06
BBN02,Bogie River Hills,QLD,1054392,47206,4.48,0.05,47210,4.48,0.04,47207,4.48,0.03
BBN03,Cape River Hills,QLD,747993,1647,0.22,0,1647,0.22,0,1647,0.22,0
BBN04,Beucazon Hills,QLD,95821,0,0,0,0,0,0,0,0,0
BBN05,Wyarra Hills,QLD,397935,0,0,0,0,0,0,0,0,0
BBN06,Northern Bowen Basin,QLD,1316957,43163,3.28,0.04,43185,3.28,0.04,41701,3.17,0.03
BBN07,Belyando Downs,QLD,1772127,33505,1.89,0.03,33466,1.89,0.03,33466,1.89,0.02
BBN08,Upper Belyando Floodout,QLD,466275,1064,0.23,0,1054,0.23,0,1054,0.23,0
BBN09,Anakie Inlier,QLD,382284,497,0.13,0,497,0.13,0,196,0.05,0
BBN10,Basalt Downs,QLD,1274731,15268,1.2,0.01,15296,1.2,0.01,15296,1.2,0.01
BBN11,Isaac-Comet Downs,QLD,2693397,46620,1.73,0.04,38087,1.41,0.03,37425,1.39,0.03
BBN12,Nebo-Connors Ranges,QLD,449269,0,0,0,0,0,0,0,0,0
